year,rotation,site_id,nrate_kgha,leaching_kgha
2012,cs,gent,0,10.4
2012,cs,gent,56,11.2
2012,cs,gent,112,12.1
2012,cs,gent,168,15.2
2012,cs,gent,224,20.2
2012,cs,gent,250,22.2
2012,cs,gent,300,26.3
2012,cs,gilm,0,4.7
2012,cs,gilm,56,5.4
2012,cs,gilm,112,7.4
2012,cs,gilm,168,13.1
2012,cs,gilm,224,19.8
2012,cs,gilm,250,23.6
2012,cs,gilm,300,30.9
2012,cs,gold,0,1.4
2012,cs,gold,56,1.7
2012,cs,gold,112,4.2
2012,cs,gold,168,6.3
2012,cs,gold,224,8.4
2012,cs,gold,250,9.3
2012,cs,gold,300,11.6
2012,cs,hugg,0,7.9
2012,cs,hugg,56,8.4
2012,cs,hugg,112,10.8
2012,cs,hugg,168,17.4
2012,cs,hugg,224,23.4
2012,cs,hugg,250,26.6
2012,cs,hugg,300,32
2012,cs,klad,0,0.7
2012,cs,klad,56,0.9
2012,cs,klad,112,1.2
2012,cs,klad,168,2.4
2012,cs,klad,224,3.5
2012,cs,klad,250,4
2012,cs,klad,300,5
2012,cs,masa,0,3
2012,cs,masa,56,3.7
2012,cs,masa,112,5
2012,cs,masa,168,11.5
2012,cs,masa,224,17.7
2012,cs,masa,250,20.7
2012,cs,masa,300,27.2
2012,cs,rand,0,1
2012,cs,rand,56,2.3
2012,cs,rand,112,2.6
2012,cs,rand,168,4.5
2012,cs,rand,224,6.6
2012,cs,rand,250,7.4
2012,cs,rand,300,9.4
2012,cs,suth,0,0.1
2012,cs,suth,56,0.2
2012,cs,suth,112,0.2
2012,cs,suth,168,0.2
2012,cs,suth,224,0.2
2012,cs,suth,250,0.2
2012,cs,suth,300,0.4
2013,cc,gent,0,13.2
2013,cc,gent,56,25.4
2013,cc,gent,112,38.5
2013,cc,gent,168,62.2
2013,cc,gent,224,102.1
2013,cc,gent,250,119.8
2013,cc,gent,300,158.7
2013,cc,gilm,0,9.4
2013,cc,gilm,56,16.5
2013,cc,gilm,112,23
2013,cc,gilm,168,55.9
2013,cc,gilm,224,96.1
2013,cc,gilm,250,114.9
2013,cc,gilm,300,151.5
2013,cc,gold,0,4.4
2013,cc,gold,56,6.5
2013,cc,gold,112,24.3
2013,cc,gold,168,50.3
2013,cc,gold,224,79.9
2013,cc,gold,250,93
2013,cc,gold,300,119.3
2013,cc,hoff,0,12.4
2013,cc,hoff,56,21.4
2013,cc,hoff,112,30.7
2013,cc,hoff,168,69.4
2013,cc,hoff,224,112
2013,cc,hoff,250,132.3
2013,cc,hoff,300,172.4
2013,cc,hugg,0,10.6
2013,cc,hugg,56,15.8
2013,cc,hugg,112,25.3
2013,cc,hugg,168,74.6
2013,cc,hugg,224,127.9
2013,cc,hugg,250,153.5
2013,cc,hugg,300,200.4
2013,cc,klad,0,1.8
2013,cc,klad,56,3.4
2013,cc,klad,112,5.4
2013,cc,klad,168,12.6
2013,cc,klad,224,24.2
2013,cc,klad,250,29.6
2013,cc,klad,300,39.9
