site_id,year,rotation,term,estimate,std.error,statistic,p.value
klad,2000,cc,xs,115.25022393618097,5.566094949186001,20.70575960135848,2.4635562445780287e-4
klad,2000,cc,c,0.024859145601059722,0.02445742154161543,1.016425446106849,0.3842659768290494
klad,2002,cc,a,73.04899999999999,0.6798474383738644,107.44910678008408,1.7771615742803243e-6
klad,2002,cc,b,0.9089999999999999,0.009403706452799105,96.66401270207953,2.4406695848522053e-6
klad,2002,cc,xs,113.46901649480422,1.374146406887485,82.57418272614605,3.914791572052901e-6
klad,2002,cc,c,0.00964438679766009,0.007824596637924537,1.232573031421879,0.3055213191421565
klad,2003,cc,a,24.6,0.69928408298426,35.17883589601698,5.050849692535202e-5
klad,2003,cc,b,1.3496964285714288,0.01765958989478526,76.4285261782882,4.936699597728437e-6
klad,2003,cc,xs,108.23210511473454,1.2035284152854149,89.92899855136986,3.030945893521929e-6
klad,2003,cc,c,0.01204776866345564,0.0047958306833780565,2.512133863526956,0.08677454401864661
klad,2004,cc,a,24.66833333333333,2.7220762007500268,9.062322842592115,0.002838148005121485
klad,2004,cc,b,1.2684821428571431,0.03765198497361577,33.689648600094216,5.749174744979384e-5
klad,2004,cc,xs,137.8838273458703,3.947591996282263,34.92859127177419,5.15997385157796e-5
klad,2004,cc,c,0.026312175736836464,0.03132930579176523,0.8398582436433207,0.4626447193857801
klad,2004,cs,a,94.292,0.02484473458995111,3795.2508471609135,4.0341234099694465e-11
klad,2004,cs,b,1.1235892857142857,6.274242966190865e-4,1790.7965817849486,3.840002333117909e-10
klad,2004,cs,xs,102.66280825279593,0.04863322497404157,2110.9603220348463,2.344391748858894e-10
klad,2004,cs,c,0.003746801625526773,1.7039017956533927e-4,21.989539743926336,2.0587252145701663e-4
klad,2005,cc,a,36.156,1.3370409215870547,27.041805090814407,1.1097618658553832e-4
klad,2005,cc,b,1.1610892857142858,0.03376538222778991,34.386972961872026,5.4071482626014976e-5
klad,2005,cc,xs,109.57428487437662,2.811158350731271,38.97833960362741,3.715118224013976e-5
klad,2005,cc,c,0.053212484948826064,0.009169695167827232,5.803081124825964,0.010183852842973623
klad,2006,cc,a,44.806,0.3175913384019993,141.0806737534059,7.852168768776745e-7
klad,2006,cc,b,1.1854464285714286,0.008020392465363043,147.8040424693568,6.828734796655047e-7
klad,2006,cc,xs,108.8285325371169,0.6308092868265746,172.52208363101767,4.294218470780578e-7
klad,2006,cc,c,0.02030572697170384,0.002178105182922767,9.322656743535171,0.0026130576567606387
klad,2007,cc,a,34.95283333333334,7.35469941410273,4.75244892623495,0.01768030955625878
klad,2007,cc,b,1.2292767857142857,0.10173081552564758,12.08362264042177,0.0012197589908803867
klad,2007,cc,xs,117.18616494779432,10.834713968518674,10.815806055267378,0.0016907835599847313
klad,2007,cc,c,0.001675074511535443,0.08464775045145796,0.0197887658278176,0.9854544411921421
klad,2008,cc,a,32.41366666666667,4.053395283174447,7.99667054462097,0.004081488486629032
klad,2008,cc,b,1.0519107142857143,0.05606690152617976,18.761705848762432,3.305444715908143e-4
klad,2008,cc,xs,166.6416002007593,7.264137174150652,22.940315718947534,1.8143022069177112e-4
klad,2008,cc,c,-0.017096699414946487,0.046651912347817744,-0.3664737103911288,0.7383327362389132
klad,2008,cs,a,81.629,0.0719701425754887,1134.206451159663,1.5114479336822628e-9
klad,2008,cs,b,1.4616428571428572,0.0018175205663603826,804.1960482845171,4.240162730302549e-9
klad,2008,cs,xs,90.48448270299505,0.09715450579109171,931.3462300715214,2.7298291102804703e-9
klad,2008,cs,c,0.0041939908187839355,4.935856920661399e-4,8.496986209685238,0.0034232150259313056
klad,2009,cc,a,19.8355,2.7787621182712203,7.138250471163204,0.005660209698796862
klad,2009,cc,b,1.1185089285714287,0.03843606931120173,29.100502434713135,8.910993565118967e-5
klad,2009,cc,xs,117.36150926810092,4.573791970476907,25.659564323355898,1.298235286473188e-4
