obs_no,study,pub_reference,pub_year,loc_citystate,lat,long,depth_inc,depth_cat,om_pct,clay_pct,texture,BD,AirDry,LL,DUL,SAT,KS,CCL,PAW,NO3ppm,NH4ppm,SW,pH
143,8,Gentry,2000,"Champaign, Illinois",40.05627,-88.2175,330-360,17,0.116,35,Clay Loam,1.498,0.14,0.14,0.259,0.265,0.376,0.247,11.9,0.116,0.116,0.259,7.2
144,8,Gentry,2000,"Champaign, Illinois",40.05627,-88.2175,360-390,18,0.116,35,Clay Loam,1.498,0.14,0.14,0.259,0.265,0.376,0.247,11.9,0.116,0.116,0.259,7.2
145,9,Kladivko,2004,SEPAC,39.02583,-85.54,0-5,1,1.29,12.2,Silt Loam,1.42,0.044,0.087,0.276,0.431,300.741,0.087,18.9,1.29,1.29,0.276,5.7
146,9,Kladivko,2004,SEPAC,39.02583,-85.54,5-10,2,1.2,12.2,Silt Loam,1.42,0.043,0.087,0.275,0.428,289.832,0.087,18.8,1.2,1.2,0.275,5.7
147,9,Kladivko,2004,SEPAC,39.02583,-85.54,10-15,3,1.1,12.2,Silt Loam,1.42,0.043,0.086,0.274,0.424,278.007,0.086,18.8,1.1,1.1,0.274,5.7
148,9,Kladivko,2004,SEPAC,39.02583,-85.54,15-30,4,1,12.2,Silt Loam,1.42,0.085,0.085,0.273,0.42,266.49,0.085,18.8,1,1,0.273,5.7
149,9,Kladivko,2004,SEPAC,39.02583,-85.54,30-45,5,0.7,15.6,Silt Loam,1.65,0.103,0.103,0.287,0.417,177.098,0.151,18.4,0.7,0.7,0.287,4.5
150,9,Kladivko,2004,SEPAC,39.02583,-85.54,45-60,6,0.5,19,Silt Loam,1.66,0.121,0.121,0.303,0.419,122.923,0.185,18.2,0.5,0.5,0.303,4.4
151,9,Kladivko,2004,SEPAC,39.02583,-85.54,60-80,7,0.2,19,Silt Loam,1.64,0.12,0.12,0.3,0.41,104.52,0.2,18,0.2,0.2,0.3,4.4
152,9,Kladivko,2004,SEPAC,39.02583,-85.54,80-100,8,0.1,25.8,Silt Loam,1.64,0.158,0.158,0.327,0.4,69.193,0.25,16.9,0.1,0.1,0.327,4.4
153,9,Kladivko,2004,SEPAC,39.02583,-85.54,100-120,9,0.1,25.8,Silt Loam,1.64,0.158,0.158,0.327,0.39,69.193,0.265,16.9,0.1,0.1,0.327,4.4
154,9,Kladivko,2004,SEPAC,39.02583,-85.54,120-150,10,0.08,25.8,Silt Loam,1.64,0.158,0.158,0.327,0.38,68.424,0.28,16.9,0.08,0.08,0.327,4.4
155,9,Kladivko,2004,SEPAC,39.02583,-85.54,150-180,11,0.01,25.8,Silt Loam,1.64,0.157,0.157,0.327,0.37,21.77,0.294,17,0.01,0.01,0.327,4.4
156,9,Kladivko,2004,SEPAC,39.02583,-85.54,180-210,12,0.01,25.8,Silt Loam,1.64,0.157,0.157,0.327,0.36,17.824,0.305,17,0.01,0.01,0.327,4.4
157,9,Kladivko,2004,SEPAC,39.02583,-85.54,210-240,13,0,25.8,Silt Loam,1.64,0.157,0.157,0.327,0.35,14.593,0.314,17,0,0,0.327,4.4
158,9,Kladivko,2004,SEPAC,39.02583,-85.54,240-270,14,0,25.8,Silt Loam,1.64,0.157,0.157,0.327,0.35,11.948,0.315,17,0,0,0.327,4.4
159,9,Kladivko,2004,SEPAC,39.02583,-85.54,270-300,15,0,25.8,Silt Loam,1.64,0.157,0.157,0.327,0.34,9.782,0.315,17,0,0,0.327,4.4
160,9,Kladivko,2004,SEPAC,39.02583,-85.54,300-330,16,0,25.8,Silt Loam,1.64,0.157,0.157,0.327,0.34,8.009,0.315,17,0,0,0.327,4.4
161,9,Kladivko,2004,SEPAC,39.02583,-85.54,330-360,17,0,25.8,Silt Loam,1.64,0.157,0.157,0.327,0.34,6.557,0.315,17,0,0,0.327,4.4
162,9,Kladivko,2004,SEPAC,39.02583,-85.54,360-390,18,0,25.8,Silt Loam,1.64,0.157,0.157,0.327,0.34,5.368,0.315,17,0,0,0.327,4.4
163,10,Hofmann,2004,West Lafayette,40.47137,-86.9931,0-5,1,1.453,10,Silty Clay Loam,1.42,0.06,0.119,0.274,0.44,313.697,0.119,15.5,4.453,4.453,0.274,7.2
164,10,Hofmann,2004,West Lafayette,40.47137,-86.9931,5-10,2,1.453,15,Silty Clay Loam,1.42,0.06,0.119,0.274,0.44,313.697,0.119,15.5,4.453,4.453,0.274,7.2
165,10,Hofmann,2004,West Lafayette,40.47137,-86.9931,10-15,3,1.453,15,Silty Clay Loam,1.42,0.06,0.119,0.274,0.44,313.697,0.119,15.5,4.453,4.453,0.274,7.2
166,10,Hofmann,2004,West Lafayette,40.47137,-86.9931,15-30,4,1.298,15,Silty Clay Loam,1.404,0.134,0.134,0.285,0.44,249.466,0.134,15.1,3.298,3.298,0.285,7.12
167,10,Hofmann,2004,West Lafayette,40.47137,-86.9931,30-45,5,0.791,20,Silty Clay Loam,1.372,0.179,0.179,0.316,0.44,121.1,0.215,13.7,1.791,1.791,0.316,6.88
168,10,Hofmann,2004,West Lafayette,40.47137,-86.9931,45-60,6,0.465,20,Silty Clay Loam,1.42,0.19,0.19,0.319,0.44,109.307,0.235,12.9,0.465,0.465,0.319,6.8
169,10,Hofmann,2004,West Lafayette,40.47137,-86.9931,60-80,7,0.465,25,Silty Clay Loam,1.441,0.177,0.177,0.31,0.42,85.443,0.237,13.3,0.465,0.465,0.31,7.22
170,10,Hofmann,2004,West Lafayette,40.47137,-86.9931,80-100,8,0.334,25,Silty Clay Loam,1.606,0.135,0.135,0.275,0.35,32.245,0.211,14,0.334,0.334,0.275,8.09
171,10,Hofmann,2004,West Lafayette,40.47137,-86.9931,100-120,9,0.174,30,Silty Clay Loam,1.76,0.112,0.112,0.252,0.3,8.411,0.2,14,0.174,0.174,0.252,8.2
172,10,Hofmann,2004,West Lafayette,40.47137,-86.9931,120-150,10,0.174,30,Silty Clay Loam,1.76,0.12,0.12,0.252,0.3,8.411,0.215,13.2,0.174,0.174,0.252,8.2
173,10,Hofmann,2004,West Lafayette,40.47137,-86.9931,150-180,11,0.174,30,Silty Clay Loam,1.76,0.13,0.13,0.252,0.275,0.713,0.229,12.2,0.174,0.174,0.252,8.2
174,10,Hofmann,2004,West Lafayette,40.47137,-86.9931,180-210,12,0.174,32,Silty Clay Loam,1.76,0.13,0.13,0.252,0.272,0.455,0.237,12.2,0.174,0.174,0.252,8.2
175,10,Hofmann,2004,West Lafayette,40.47137,-86.9931,210-240,13,0.174,32,Silty Clay Loam,1.76,0.13,0.13,0.252,0.269,0.291,0.24,12.2,0.174,0.174,0.252,8.2
176,10,Hofmann,2004,West Lafayette,40.47137,-86.9931,240-270,14,0.174,32,Silty Clay Loam,1.76,0.13,0.13,0.252,0.267,0.186,0.24,12.2,0.174,0.174,0.252,8.2
177,10,Hofmann,2004,West Lafayette,40.47137,-86.9931,270-300,15,0.174,32,Silty Clay Loam,1.76,0.13,0.13,0.252,0.265,0.119,0.24,12.2,0.174,0.174,0.252,8.2
178,10,Hofmann,2004,West Lafayette,40.47137,-86.9931,300-330,16,0.174,32,Silty Clay Loam,1.76,0.13,0.13,0.252,0.263,0.076,0.24,12.2,0.174,0.174,0.252,8.2
179,10,Hofmann,2004,West Lafayette,40.47137,-86.9931,330-360,17,0.174,32,Silty Clay Loam,1.76,0.13,0.13,0.252,0.262,0.048,0.24,12.2,0.174,0.174,0.252,8.2
180,10,Hofmann,2004,West Lafayette,40.47137,-86.9931,360-390,18,0.174,32,Silty Clay Loam,1.76,0.13,0.13,0.252,0.261,0.031,0.24,12.2,0.174,0.174,0.252,8.2
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
